"TIPOLOGIA STRUTTURA,""TIPO_ESERCIZIO"",""CLASSIFICAZIONE"",""DENOMINAZIONE"",""CAP"",""INDIRIZZO"",""TELEFONO"",""CAMERE"",""BAGNI"",""LETTI"",""SCIA/AUT."",""DATA"",""N. PROT"",""Durata"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B BOCCELLE FRATTAROLI SIMONE"",""00053"",""VIA MAESTRALE N 107/109"",""3283211161"",""3"",""1"",""6"",""SCIA"",""22/01/2014"",""03/2014 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B CENTOCELLE PASTORE GALDERIO"",""00053"",""CORSO CENTOCELLE27"",""0766/580029"",""2"",""1"",""4"",""SCIA"",""22/10/2013"",""33/2013 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B ACQUAMARINA DI LORETANA GIACONI"",""00053"",""VIA DELLE ROSE 47"",""0766/31991"",""2"",""1"",""4"",""SCIA"",""09/10/2013"",""32/2013 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B PONENTINO di ZUFFANTI Severino"",""00053"",""VIA TRIESTE 2"","""",""1"",""1"",""2"",""SCIA"",""27/03/14"",""11/2013 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B ANGOLO FIORITO di PAPA MARIA CONSOLATA"",""00053"",""VIA PAOLO VIDAU 22"","""",""2"",""2"",""4"",""SCIA"",""27/03/14"",""24/2014 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B ANTICA AURELIA di BATTILOCCHIO VINCENZO"",""00053"",""VIA AURELIA NORD 18"","""",""2"",""2"",""4"",""SCIA"",""16/05/14"",""22/2014 R.G."",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B MAISON DE REVEL DI TOGNETTI STEFANO"",""00053"",""VIA THAON DE REVEL , 30"","""",""2"",""2"",""5"",""SCIA"",""16/05/14"",""21/2014 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B IL GIARDINETTO DI TOTI LORENZO"",""00053"",""VIA CARLO CALISSE, 1"","""",""3"",""3"",""5"",""SCIA"",""12/09/14"",""44/2014 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B VILLA SARA"",""53"",""VIA OLIMPIA, 15"","""",""2"",""2"",""4"",""SCIA"",""30/09/14"",""46/2014 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""AFFITTACAMERE"","""",""VILLA S.LUCIA di GATTO Melania"",""53"",""VIA SANTA LUCIA SNC"",""0766/32825"",""4"",""2"",""8"",""AUTORIZ."",""26/05/2010"",""19/2010 R.B."",""Permanente"""
